Serie,EpisodesCount,LastWatchedDate,CurrentNumber
Donde esta Wally,13,False,1
El Autobus Magico,52,False,1
El Club de Mickey Mouse,39,False,1
El Gato Felix,34,False,1
El Laboratorio de Dexter,78,False,1
Johnny Bravo,60,False,1
La Vaca y el Pollito,34,False,1
Las Chicas Superpoderosas,71,False,1
Las Nuevas Locuras del Emperador,50,False,1
Las Tortugas Ninja,49,False,1
Lizzie McGuire,56,False,1
Mario Bros,18,False,1
Mike Lu y Og,26,2024-10-26,1
Pitufos,79,False,1
Pokemon,112,False,1
Tintin,39,False,1
Tiny Toons,98,False,1
Un cachorro llamado Scooby Doo,24,False,1
Winnie Pooh,50,False,1
Las Aventuras de Silvestre y Piolin,21,False,1
Ranma,161,False,1